1000 5000
105 198 76
155 199 58
38 200 18
74 201 94
109 202 69
29 203 59
79 204 11
72 205 98
72 206 93
35 207 39
158 208 69
185 209 49
84 210 41
143 211 59
199 212 96
119 213 57
194 214 47
125 215 35
2 216 27
6 217 95
194 218 88
190 219 4
23 220 64
115 221 70
97 222 20
34 223 94
190 224 52
31 225 50
176 226 60
92 227 94
16 228 1
135 229 14
144 230 30
112 231 65
203 232 71
219 233 34
173 234 80
132 235 48
98 236 95
188 237 43
164 238 11
206 239 71
169 240 85
198 241 17
125 242 53
9 243 78
238 244 82
17 245 99
137 246 90
55 247 51
36 248 71
77 249 46
86 250 73
26 251 89
57 252 92
89 253 44
217 254 51
35 255 60
79 256 1
205 257 88
179 258 52
31 259 91
25 260 74
136 261 32
215 262 33
36 263 36
261 264 22
22 265 96
261 266 68
246 267 39
187 268 83
159 269 7
215 270 92
242 271 22
211 272 29
151 273 66
121 274 58
253 275 5
212 276 50
199 277 32
177 278 46
232 279 74
236 280 4
3 281 22
238 282 51
222 283 40
82 284 73
50 285 68
269 286 60
237 287 88
86 288 54
284 289 63
78 290 59
156 291 1
128 292 6
6 293 19
38 294 36
144 295 78
185 296 99
109 297 28
190 298 53
239 299 81
184 300 19
185 301 26
255 302 17
236 303 94
204 304 71
66 305 75
286 306 86
129 307 66
264 308 98
169 309 97
206 310 73
127 311 41
274 312 90
106 313 44
37 314 24
295 315 44
160 316 98
266 317 74
243 318 63
120 319 84
14 320 96
283 321 43
308 322 78
219 323 58
301 324 1
37 325 3
10 326 54
116 327 95
108 328 36
270 329 6
263 330 22
259 331 33
83 332 9
7 333 91
96 334 36
191 335 78
70 336 46
197 337 93
304 338 89
177 339 47
77 340 47
338 341 77
69 342 89
329 343 42
225 344 42
45 345 58
113 346 66
187 347 98
35 348 26
97 349 76
40 350 41
127 351 99
287 352 62
59 353 50
85 354 24
281 355 81
77 356 63
161 357 31
182 358 57
37 359 95
155 360 19
13 361 1
8 362 59
135 363 19
130 364 16
340 365 86
70 366 34
74 367 98
365 368 96
217 369 4
268 370 86
85 371 63
350 372 83
16 373 65
116 374 78
170 375 71
144 376 42
181 377 95
171 378 20
276 379 62
264 380 75
166 381 54
273 382 96
243 383 36
79 384 73
265 385 50
273 386 78
95 387 99
34 388 82
73 389 68
337 390 81
179 391 88
174 392 15
96 393 89
233 394 97
379 395 54
299 396 96
78 397 13
117 398 89
143 399 71
201 400 31
156 401 59
18 402 51
373 403 96
202 404 89
39 405 96
364 406 65
212 407 24
111 408 30
152 409 68
321 410 75
326 411 88
269 412 46
46 413 10
198 414 59
294 415 78
180 416 69
112 417 82
317 418 73
129 419 27
39 420 21
199 421 16
319 422 47
223 423 3
109 424 25
132 425 17
209 426 12
46 427 31
164 428 56
16 429 42
318 430 83
75 431 58
184 432 81
172 433 47
88 434 69
340 435 88
145 436 64
146 437 33
76 438 92
18 439 58
109 440 47
87 441 93
97 442 85
167 443 1
106 444 18
121 445 29
350 446 55
57 447 7
225 448 76
132 449 53
234 450 13
233 451 26
278 452 67
60 453 29
63 454 75
29 455 7
210 456 89
172 457 69
107 458 68
77 459 39
348 460 50
289 461 67
350 462 92
421 463 85
121 464 99
174 465 75
400 466 50
356 467 95
277 468 99
442 469 7
191 470 63
240 471 11
33 472 73
279 473 19
166 474 83
375 475 36
349 476 50
313 477 32
18 478 44
448 479 18
78 480 36
0 481 87
304 482 89
54 483 54
431 484 98
33 485 99
126 486 61
119 487 5
55 488 98
407 489 1
398 490 51
67 491 80
185 492 26
473 493 56
411 494 40
4 495 89
356 496 72
424 497 63
451 498 64
183 499 83
178 500 51
41 501 6
353 502 29
206 503 12
266 504 8
183 505 14
88 506 28
379 507 96
155 508 25
104 509 87
158 510 56
2 511 44
491 512 61
460 513 94
332 514 16
185 515 89
162 516 28
494 517 49
282 518 6
9 519 62
59 520 78
229 521 20
151 522 81
491 523 94
157 524 28
26 525 36
326 526 13
279 527 41
147 528 22
428 529 28
371 530 96
202 531 21
130 532 10
412 533 47
162 534 65
103 535 86
434 536 6
67 537 80
513 538 22
177 539 72
342 540 97
437 541 91
518 542 13
83 543 51
538 544 70
426 545 91
494 546 8
408 547 86
265 548 43
75 549 18
245 550 25
346 551 41
328 552 71
542 553 3
117 554 92
12 555 29
302 556 24
70 557 92
552 558 56
295 559 70
93 560 84
460 561 7
334 562 78
10 563 3
539 564 82
22 565 74
463 566 84
41 567 53
4 568 72
291 569 84
219 570 60
482 571 39
71 572 51
61 573 85
200 574 52
269 575 47
365 576 19
360 577 39
136 578 63
257 579 84
543 580 62
134 581 33
144 582 87
153 583 96
115 584 85
489 585 45
272 586 46
581 587 48
514 588 96
442 589 46
254 590 4
59 591 88
27 592 91
562 593 94
57 594 68
67 595 81
415 596 98
489 597 8
61 598 12
55 599 35
324 600 37
95 601 82
347 602 7
414 603 11
37 604 33
563 605 44
239 606 85
25 607 19
64 608 22
166 609 43
19 610 18
533 611 46
404 612 7
175 613 38
478 614 25
493 615 62
450 616 25
285 617 38
615 618 82
169 619 27
133 620 27
195 621 86
497 622 32
155 623 27
479 624 84
7 625 41
179 626 30
263 627 81
377 628 28
0 629 42
212 630 22
621 631 8
149 632 15
116 633 33
483 634 44
322 635 36
46 636 95
273 637 53
371 638 29
232 639 61
588 640 13
389 641 27
345 642 71
545 643 16
300 644 34
186 645 96
611 646 1
104 647 13
535 648 18
465 649 29
448 650 16
329 651 56
338 652 73
79 653 66
542 654 59
241 655 68
161 656 53
302 657 45
240 658 72
41 659 77
138 660 39
489 661 92
321 662 34
145 663 1
581 664 20
622 665 35
74 666 27
6 667 35
300 668 73
112 669 29
346 670 97
350 671 44
418 672 30
107 673 31
14 674 15
529 675 28
197 676 35
572 677 36
82 678 89
7 679 28
456 680 81
325 681 82
297 682 20
549 683 80
369 684 81
385 685 45
282 686 43
670 687 40
278 688 80
575 689 42
41 690 99
28 691 70
613 692 81
161 693 94
35 694 58
424 695 71
425 696 40
600 697 33
6 698 22
602 699 60
201 700 98
592 701 12
461 702 80
271 703 26
354 704 58
500 705 28
603 706 3
208 707 33
682 708 43
479 709 21
566 710 4
446 711 100
188 712 46
122 713 11
119 714 74
236 715 41
502 716 78
649 717 23
38 718 28
35 719 37
361 720 8
167 721 57
571 722 30
301 723 94
326 724 21
678 725 97
189 726 26
583 727 27
268 728 64
714 729 88
405 730 58
579 731 32
477 732 51
442 733 74
723 734 9
364 735 15
484 736 42
529 737 65
186 738 100
431 739 85
266 740 7
204 741 18
678 742 78
242 743 11
216 744 31
278 745 12
275 746 41
337 747 3
13 748 48
331 749 57
48 750 20
300 751 85
566 752 38
540 753 45
60 754 28
363 755 85
88 756 90
736 757 26
53 758 83
707 759 53
102 760 11
519 761 2
607 762 17
119 763 71
242 764 90
606 765 65
245 766 99
190 767 66
758 768 100
252 769 49
611 770 97
614 771 97
579 772 32
510 773 35
576 774 2
80 775 37
464 776 59
225 777 71
332 778 86
576 779 91
315 780 6
665 781 17
254 782 99
633 783 59
109 784 29
341 785 15
611 786 1
379 787 36
769 788 54
22 789 95
758 790 87
425 791 40
184 792 91
145 793 6
258 794 78
23 795 31
144 796 25
508 797 93
749 798 86
547 799 65
764 800 47
109 801 5
197 802 30
489 803 35
642 804 84
580 805 39
785 806 11
249 807 26
771 808 74
60 809 32
564 810 26
308 811 46
795 812 40
374 813 42
465 814 4
716 815 95
226 816 36
148 817 32
419 818 56
400 819 46
601 820 72
412 821 33
107 822 24
794 823 72
720 824 37
564 825 66
171 826 25
735 827 72
268 828 64
508 829 32
46 830 98
713 831 19
543 832 33
685 833 52
346 834 85
161 835 42
245 836 94
102 837 39
476 838 90
131 839 19
338 840 71
473 841 35
144 842 72
438 843 89
46 844 38
369 845 55
235 846 82
325 847 93
4 848 31
505 849 18
773 850 42
8 851 66
402 852 61
353 853 3
361 854 60
743 855 98
273 856 50
582 857 29
727 858 84
780 859 50
667 860 9
173 861 27
6 862 99
144 863 100
268 864 80
310 865 40
522 866 16
706 867 14
8 868 1
382 869 60
237 870 14
793 871 29
104 872 58
639 873 50
315 874 88
309 875 59
25 876 19
752 877 95
363 878 93
533 879 75
435 880 37
443 881 76
817 882 74
712 883 88
723 884 79
781 885 79
45 886 48
190 887 45
1 888 71
403 889 78
691 890 93
725 891 14
331 892 87
142 893 38
217 894 24
140 895 81
803 896 44
840 897 88
606 898 45
790 899 94
397 900 16
275 901 29
4 902 36
771 903 94
132 904 13
777 905 34
333 906 98
84 907 21
326 908 20
275 909 32
304 910 40
638 911 98
744 912 56
88 913 41
873 914 19
806 915 50
586 916 30
593 917 4
774 918 50
594 919 12
884 920 41
609 921 46
288 922 24
1 923 32
821 924 72
95 925 8
589 926 94
577 927 47
404 928 9
260 929 31
178 930 63
528 931 15
806 932 1
622 933 9
899 934 47
700 935 8
11 936 37
418 937 61
141 938 65
342 939 7
777 940 62
635 941 6
14 942 95
216 943 27
160 944 21
900 945 65
896 946 57
206 947 12
509 948 6
463 949 75
686 950 60
540 951 90
163 952 78
34 953 15
499 954 51
167 955 30
454 956 5
57 957 66
14 958 50
308 959 79
312 960 9
769 961 11
703 962 83
880 963 14
118 964 4
819 965 34
639 966 12
169 967 55
437 968 41
874 969 100
565 970 33
447 971 40
623 972 100
308 973 82
353 974 25
833 975 52
610 976 28
535 977 36
655 978 29
839 979 52
432 980 48
577 981 46
705 982 91
560 983 18
119 984 91
819 985 34
32 986 97
313 987 95
473 988 57
290 989 50
594 990 80
785 991 7
716 992 25
924 993 97
373 994 100
723 995 10
121 996 32
965 997 51
160 998 50
432 999 2
641 895 2
108 651 80
148 123 27
343 187 55
883 471 6
152 66 29
690 26 34
833 451 50
993 632 79
711 185 99
17 433 34
378 555 46
597 881 63
524 618 53
27 728 55
244 92 25
946 632 77
654 54 1
526 947 18
714 575 34
358 76 33
859 960 91
520 227 66
237 230 16
472 964 61
216 250 24
58 916 97
299 553 52
344 243 73
630 642 33
245 44 85
881 795 26
599 706 36
81 64 7
551 287 52
651 309 12
10 840 48
264 105 9
435 977 87
755 540 62
452 281 22
173 957 44
809 40 66
28 910 36
0 428 73
481 100 25
580 734 24
825 159 49
100 761 67
649 583 75
246 909 14
619 550 87
480 279 23
745 760 12
26 925 98
911 933 28
262 352 28
281 964 49
339 44 88
224 584 59
955 965 28
342 41 72
377 53 87
766 197 10
887 957 49
783 924 40
320 5 44
849 190 68
116 779 46
739 860 91
691 619 90
361 560 44
519 503 5
785 209 17
513 537 67
56 573 8
230 99 38
30 925 7
414 337 29
488 122 42
502 282 91
950 693 71
643 592 82
875 390 17
240 206 73
531 737 35
521 247 7
752 151 7
781 245 22
75 415 63
767 580 26
196 402 13
438 87 81
485 575 80
798 894 51
242 376 61
423 409 14
432 15 1
994 839 89
52 792 63
831 459 17
109 203 4
388 232 23
674 529 75
770 366 24
298 619 68
453 670 79
929 742 39
257 621 46
976 549 26
551 944 14
551 62 13
343 293 31
383 799 19
324 624 48
975 288 60
947 837 89
504 667 55
175 830 26
849 204 68
908 680 14
807 980 97
973 941 15
31 458 68
16 401 47
96 859 59
229 150 91
134 527 40
509 17 51
637 616 61
45 378 48
678 737 46
666 581 47
926 135 56
48 446 18
77 276 69
682 434 74
450 369 96
698 579 27
659 85 75
786 300 55
233 733 47
736 551 8
74 938 24
851 402 40
64 264 2
788 660 89
574 376 31
390 591 9
699 18 40
683 419 12
146 118 59
290 278 30
114 656 39
284 667 47
422 725 66
727 342 56
678 695 78
747 938 66
255 665 76
49 402 7
777 280 76
565 715 69
183 246 94
830 541 41
796 551 50
802 580 21
170 578 54
461 668 84
443 22 77
839 958 100
328 694 99
897 347 81
755 243 61
50 1 76
243 275 91
116 105 63
752 338 35
543 924 19
214 645 49
915 285 38
196 328 89
667 935 20
632 352 44
752 989 59
662 546 5
70 657 44
924 425 92
997 40 24
914 951 90
790 990 95
392 25 99
624 635 24
549 524 11
999 450 20
628 972 54
221 898 39
316 481 77
237 312 11
572 853 23
35 948 86
562 320 22
195 949 25
23 799 24
667 522 2
288 106 67
238 209 85
928 431 49
334 148 66
185 624 69
306 121 38
140 80 41
595 397 66
680 826 77
644 489 21
425 48 17
679 44 44
50 125 31
842 155 87
608 631 38
672 979 15
697 664 15
948 650 62
39 13 19
96 161 3
790 337 37
337 762 14
470 584 79
361 643 40
63 666 56
942 405 67
489 859 74
510 58 68
42 935 7
530 654 4
484 407 11
387 464 3
77 937 59
881 811 31
710 331 16
155 284 71
900 932 49
972 742 20
915 676 47
627 586 5
978 896 68
761 336 52
858 384 50
27 386 62
242 535 95
588 935 80
591 832 34
483 331 40
463 253 80
303 530 87
91 568 99
378 692 6
344 892 65
940 797 88
289 547 84
743 95 64
667 704 95
150 581 96
458 530 13
633 332 94
239 509 11
128 203 77
452 952 5
321 975 11
717 246 59
63 748 83
433 578 25
92 117 84
161 719 15
728 899 23
791 403 14
399 964 86
908 337 72
367 244 39
511 881 56
445 275 4
557 651 76
303 754 46
448 433 64
714 160 59
296 638 99
448 633 90
627 887 36
612 373 73
971 899 75
614 125 40
698 551 65
839 856 64
824 883 9
933 837 68
578 697 12
216 666 10
214 251 65
74 942 31
153 978 28
213 588 54
826 356 34
8 689 77
989 600 56
782 659 52
169 452 11
212 120 77
677 672 5
176 80 91
463 406 91
748 199 42
312 25 40
120 522 44
559 138 17
633 79 61
455 463 16
629 249 60
64 119 18
165 625 24
567 200 36
140 941 45
463 595 57
783 759 55
141 944 99
293 898 51
89 446 76
283 329 12
659 351 71
367 901 59
933 340 82
92 888 60
213 393 88
367 19 50
565 753 27
200 418 31
806 155 30
377 668 46
998 263 70
813 137 43
54 882 6
553 214 60
894 916 93
677 218 8
828 784 57
666 164 21
775 785 2
160 689 58
471 168 28
153 938 86
896 569 87
123 270 70
922 588 14
532 686 28
653 130 35
889 637 88
965 369 37
757 839 38
841 255 53
185 505 16
902 724 22
168 679 41
999 414 34
758 170 27
735 926 26
576 857 26
880 903 25
266 62 55
21 103 21
41 934 98
237 44 69
32 423 41
30 137 92
358 463 27
107 538 33
350 162 43
290 984 22
643 21 90
734 410 31
511 795 36
348 604 72
526 545 39
381 646 61
369 6 43
276 651 28
29 542 19
996 461 14
475 663 18
30 46 83
144 770 21
253 866 12
559 202 96
298 301 8
634 588 7
176 308 55
191 728 86
351 511 15
945 104 62
86 335 99
839 502 86
529 770 32
415 344 19
624 894 56
300 244 33
282 786 55
526 385 75
447 46 93
548 729 21
761 255 25
266 275 26
837 995 46
307 857 38
688 823 91
705 983 21
875 541 86
868 671 100
192 379 53
463 652 60
269 751 33
217 798 93
456 757 80
273 245 90
785 969 90
444 71 37
6 473 11
953 697 33
112 123 30
791 554 38
563 361 86
415 405 96
645 841 93
490 620 82
798 450 76
8 198 38
55 857 75
159 219 68
1 383 67
426 694 25
962 31 61
773 42 64
209 854 88
979 513 70
439 549 62
115 330 37
892 196 87
214 900 64
313 554 100
231 556 90
454 863 58
389 761 20
285 434 97
373 318 53
954 1 91
898 560 73
696 849 64
563 58 73
543 46 61
819 698 45
684 784 19
277 171 50
732 559 23
275 594 8
379 291 90
381 285 24
312 532 87
315 382 41
611 181 89
454 545 99
664 7 66
225 699 29
266 324 89
51 370 51
788 731 10
681 284 53
583 45 62
221 372 44
551 409 5
253 658 28
553 256 30
211 34 1
407 814 26
695 819 1
842 209 81
128 958 61
206 532 21
219 52 17
347 921 11
751 339 28
989 590 56
668 304 5
905 891 43
387 952 94
276 730 63
926 338 5
782 638 30
964 338 5
458 858 27
876 219 27
62 672 34
446 598 27
944 189 30
177 6 18
433 322 33
730 510 52
695 490 27
172 260 18
728 653 55
11 73 36
275 393 47
685 136 50
307 458 68
640 565 93
497 929 44
231 230 67
428 900 86
250 773 82
557 618 80
637 57 29
784 537 88
714 969 1
582 938 40
285 620 22
967 194 12
260 33 9
958 999 59
189 874 97
512 150 21
645 561 20
385 944 35
758 442 41
777 2 35
938 640 41
661 456 31
893 59 14
664 487 10
189 232 45
339 757 22
894 954 43
573 602 25
477 377 26
758 816 79
589 296 26
712 753 71
790 114 57
30 461 69
461 21 67
122 687 100
172 770 65
351 748 63
914 982 2
617 459 25
899 457 77
925 833 14
298 736 98
990 366 82
219 720 3
429 624 91
251 528 43
166 848 59
182 206 85
760 248 70
630 716 48
961 152 80
147 414 56
502 818 40
82 779 10
122 415 19
546 258 2
389 269 75
66 433 24
340 342 45
570 585 29
909 989 33
161 491 43
763 252 67
384 926 19
334 289 85
286 424 42
858 371 78
555 712 12
516 780 89
173 69 97
580 821 19
247 41 6
763 427 49
269 329 27
308 228 38
555 505 48
958 9 81
613 580 76
714 672 34
689 941 55
857 3 20
613 172 63
663 846 88
175 462 7
126 288 1
760 19 97
678 786 38
950 498 3
833 426 19
858 418 52
947 454 7
651 594 35
751 314 75
219 655 40
90 492 36
96 108 31
87 760 92
550 391 22
405 78 5
65 648 14
589 959 9
697 277 61
910 249 94
364 789 74
949 247 6
421 121 55
402 239 7
53 360 13
264 144 71
436 273 18
896 708 66
133 29 73
456 835 32
654 670 73
446 138 69
984 357 60
763 978 54
376 345 62
51 865 76
515 257 52
625 426 42
243 768 67
613 534 38
179 838 44
793 528 41
111 583 75
319 173 52
778 298 16
29 17 25
882 687 93
715 915 96
545 460 66
466 472 96
808 179 83
802 419 78
603 981 31
478 968 96
958 406 91
708 609 44
798 87 94
236 202 47
228 255 76
171 967 12
11 137 94
355 642 30
585 487 32
182 292 36
821 838 31
949 789 32
444 784 77
3 455 15
279 594 11
116 173 41
610 697 60
970 35 55
71 52 47
241 36 58
904 857 53
222 793 25
98 462 34
220 190 90
279 561 15
737 685 56
773 434 91
888 416 87
723 636 17
308 947 70
621 933 96
353 603 76
148 652 53
751 991 24
997 459 36
760 963 12
521 955 33
833 32 97
135 290 28
275 408 25
391 627 56
847 118 10
477 153 96
722 364 95
606 804 72
385 612 40
926 552 14
15 618 10
644 331 32
114 85 30
409 380 22
600 186 50
685 635 50
855 457 97
379 841 44
168 599 62
313 252 33
53 86 64
998 121 42
318 84 7
493 986 36
500 93 56
33 462 15
706 226 61
377 105 58
556 307 40
385 81 19
815 610 13
557 938 55
793 363 58
745 371 14
682 632 99
565 276 29
752 198 53
44 657 4
738 958 78
307 280 8
714 853 47
562 796 51
768 195 11
426 437 11
451 386 2
764 156 60
529 884 50
321 282 91
929 788 26
162 799 30
789 764 80
960 162 67
73 846 53
351 254 47
632 612 34
267 191 76
347 11 79
46 697 30
354 362 24
948 673 2
13 958 7
854 845 12
7 676 62
513 50 57
76 797 36
112 778 48
936 427 26
382 350 47
301 592 14
77 386 21
160 815 12
114 653 38
811 767 50
516 668 60
966 692 44
114 580 24
219 191 90
653 291 6
799 503 13
224 695 6
217 734 16
571 110 1
166 430 89
579 956 77
103 129 73
738 539 40
321 894 84
463 975 14
925 0 28
587 536 27
488 215 11
954 173 48
782 429 25
612 973 42
528 547 64
426 102 45
979 422 15
801 833 90
705 220 18
505 742 73
613 866 29
901 996 3
383 812 11
529 413 21
248 235 67
562 584 97
566 239 40
547 453 48
190 598 18
114 282 29
831 669 92
69 782 100
537 226 63
894 927 28
473 519 64
559 728 59
629 741 66
768 343 80
560 316 66
441 737 56
974 172 20
18 419 50
852 629 78
875 318 66
253 21 66
128 382 53
372 265 28
636 452 62
597 309 90
164 266 73
281 861 29
904 26 53
346 756 39
817 985 83
934 438 25
977 585 10
263 939 45
5 172 86
640 726 39
455 539 98
27 698 9
148 147 25
252 991 60
851 704 71
851 245 42
238 626 22
536 428 28
998 358 45
729 296 46
806 354 61
351 903 83
158 516 62
96 144 2
392 452 53
362 826 56
858 947 76
962 944 57
512 981 59
161 2 86
92 883 57
703 971 15
392 27 49
271 694 22
328 56 40
264 636 60
925 622 57
555 968 27
560 495 27
116 604 94
176 104 38
560 492 59
375 513 71
481 3 45
694 699 16
300 23 17
645 627 58
573 745 58
773 769 2
400 151 86
761 773 99
580 442 51
904 103 46
150 514 95
717 808 86
608 660 71
14 621 25
27 801 87
241 805 87
441 51 52
489 812 5
370 163 31
417 580 25
925 399 53
514 743 73
505 850 32
93 900 31
914 2 10
852 422 34
649 534 51
901 246 57
181 535 12
733 996 29
703 329 81
51 142 11
438 261 6
176 627 84
248 751 86
399 375 63
698 812 69
849 544 79
377 390 10
860 9 82
768 447 40
272 560 73
994 195 88
529 872 67
818 103 100
694 486 91
972 144 83
723 286 99
163 520 86
432 341 11
541 996 95
123 31 24
696 650 25
347 67 92
460 252 21
506 955 54
709 172 72
343 807 76
921 594 91
294 646 63
874 813 82
129 810 34
643 710 93
4 170 27
317 533 67
54 891 65
823 111 48
638 713 19
935 713 62
628 960 71
952 607 92
430 475 94
458 278 1
265 632 40
722 584 34
656 307 60
804 752 20
10 485 35
469 225 79
765 220 13
958 756 66
411 23 82
919 447 29
402 810 63
99 468 83
287 207 11
934 823 98
327 425 55
881 931 99
504 126 88
808 983 92
992 147 19
233 728 75
974 19 82
638 582 2
394 790 97
791 739 86
324 828 23
194 607 20
375 274 11
67 110 89
114 629 53
770 834 7
270 384 63
919 208 23
609 278 98
602 133 50
321 105 52
484 209 50
223 851 30
513 140 32
234 333 80
636 535 50
556 872 2
668 579 58
701 142 96
512 496 62
816 498 32
268 93 70
6 528 84
454 537 37
976 338 43
41 110 21
496 12 26
736 676 45
239 126 48
859 410 66
653 287 19
739 749 99
770 82 12
7 371 24
580 218 31
518 964 25
421 445 100
924 532 24
839 259 23
182 620 91
108 275 58
974 269 76
605 279 43
553 395 57
205 239 7
899 344 37
546 274 31
342 582 80
912 964 64
149 929 8
396 495 96
543 306 53
293 189 84
684 887 8
926 543 5
992 145 20
479 188 40
96 453 61
96 905 81
720 287 20
954 387 70
70 88 46
98 394 1
69 686 75
864 483 74
306 133 59
538 899 32
697 181 11
719 837 32
648 78 40
382 715 7
966 611 10
830 621 63
667 679 74
314 731 53
757 801 61
903 293 58
342 122 11
317 247 3
936 144 19
2 312 25
73 726 70
380 994 63
159 440 33
3 932 70
36 431 51
743 227 28
379 213 26
591 252 75
505 463 2
76 608 28
207 262 38
742 813 20
753 953 48
922 475 9
21 448 56
941 907 71
41 399 57
883 364 21
410 383 72
764 53 50
472 137 36
138 513 72
570 412 64
9 361 90
105 891 75
268 204 38
29 547 99
350 891 34
633 684 36
439 594 62
986 396 58
477 552 9
140 436 26
406 730 72
879 730 12
281 365 15
887 866 11
527 584 14
367 146 33
376 838 10
803 405 22
984 545 56
841 531 16
754 585 13
235 508 41
954 424 72
910 309 41
828 52 45
274 568 92
844 434 32
782 898 62
190 836 77
75 30 74
645 981 54
13 225 57
133 69 1
499 136 63
399 412 5
452 532 62
940 321 79
42 74 65
931 382 6
802 27 15
665 983 22
72 460 87
975 577 57
406 602 33
394 254 40
191 787 96
568 557 85
746 613 62
857 222 36
507 276 27
85 967 83
280 899 73
586 85 53
378 834 58
614 132 60
816 4 16
908 399 38
674 454 26
52 14 23
914 735 68
592 582 96
815 134 67
275 977 78
169 935 8
442 348 49
656 800 39
741 676 18
701 914 56
476 200 80
201 729 59
756 439 31
213 481 39
303 317 61
76 340 38
800 644 73
818 735 12
609 390 36
903 245 14
838 683 14
50 319 29
386 947 78
561 747 13
850 448 44
215 652 58
294 739 64
148 969 73
114 417 59
54 409 4
966 953 89
616 897 81
787 294 93
157 93 73
268 493 85
624 44 60
831 761 68
573 149 41
77 520 60
716 171 7
420 471 75
4 539 20
163 818 79
415 290 85
841 937 44
205 920 40
187 543 89
921 355 56
165 928 46
185 342 95
169 964 14
909 167 50
301 795 52
831 567 46
855 533 38
254 821 14
355 764 10
657 671 22
69 886 38
175 976 5
915 863 81
300 646 40
145 882 47
580 530 22
151 308 20
359 618 30
75 610 87
952 925 32
122 144 33
767 257 19
303 477 28
962 645 84
656 831 54
828 357 49
757 331 3
34 794 29
451 884 25
884 539 59
511 315 52
322 90 86
797 94 56
441 260 32
753 968 34
376 806 81
51 98 32
618 678 29
751 698 56
403 110 69
715 20 60
801 690 30
750 252 25
848 856 27
684 908 86
666 261 11
845 350 69
734 807 86
797 180 66
395 801 46
85 108 30
32 734 36
498 189 13
294 929 95
566 377 28
431 644 52
67 218 22
51 749 40
434 718 8
74 151 88
782 436 13
832 666 78
131 549 52
639 566 64
707 974 93
409 911 92
18 310 89
453 298 87
161 955 96
660 550 90
703 408 12
341 217 24
748 38 7
392 446 60
812 571 83
466 595 67
760 272 8
40 325 93
341 253 80
140 979 37
501 414 48
388 815 83
362 271 28
484 135 81
480 169 17
961 610 47
860 139 98
231 997 31
21 433 45
194 721 39
278 345 4
690 504 26
908 632 51
847 568 42
118 682 94
293 689 71
716 83 74
304 83 96
498 54 87
34 79 21
658 174 69
48 59 9
19 812 85
654 261 93
964 128 96
954 487 21
592 680 23
552 65 6
769 272 26
896 133 52
879 163 59
273 673 95
738 955 16
852 427 92
977 471 81
359 178 9
290 343 11
325 467 34
720 172 72
934 696 78
225 640 17
466 121 87
185 272 8
665 794 88
435 336 55
54 290 28
388 641 39
28 180 83
958 75 84
279 31 72
894 256 26
255 653 61
116 815 45
638 905 28
505 706 76
986 226 66
773 262 92
672 761 13
721 450 86
338 750 40
70 429 75
344 244 60
196 703 7
439 95 64
858 81 39
930 521 93
72 318 83
244 492 73
664 506 40
662 257 61
124 666 18
438 301 86
713 85 96
969 179 22
832 485 19
485 783 22
636 485 11
977 645 55
712 176 11
929 535 58
187 204 77
742 348 30
167 607 54
618 458 66
127 742 23
632 490 12
649 224 99
880 969 85
